Word,NoteID,CanonicalWord,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,LearnerLevel,Sources,SourceBooks,Tags
tiger,KV000020,tiger,[ˈtaɪɡə(r)],[ˈtaɪɡər],老虎,We saw a tiger at the zoo last Sunday.,上星期日我们在动物园看见了一只老虎。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
monkey,KV000021,monkey,[ˈmʌŋki],[ˈmʌŋki],猴子,The monkey climbed up the tree quickly.,那只猴子很快爬上了树。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
cat,KV000022,cat,[kæt],[kæt],猫,My cat sleeps under the chair every afternoon.,我的猫每天下午都睡在椅子下面。,4,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
what,KV000023,what,[wɒt],[wʌt],什么,What is this?,这是什么？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
it,KV000024,it,[ɪt],[ɪt],它,"I found a pencil, and it is yours.",我找到一支铅笔，它是你的。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
one,KV000025,one,[wʌn],[wʌn],一；一个,There is one apple left on the plate.,盘子里还剩一个苹果。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
two,KV000026,two,[tuː],[tuː],二；两个,We have two English classes today.,我们今天有两节英语课。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
three,KV000027,three,[θriː],[θriː],三；三个,Three students are reading in the library.,三个学生正在图书馆读书。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
four,KV000028,four,[fɔː(r)],[fɔːr],四；四个,Our classroom has four big windows.,我们的教室有四扇大窗户。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
five,KV000029,five,[faɪv],[faɪv],五；五个,The bus leaves at five o'clock.,公交车五点出发。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
six,KV000030,six,[sɪks],[sɪks],六；六个,I get up at six on school days.,上学日我六点起床。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
seven,KV000031,seven,[ˈsev(ə)n],[ˈsev(ə)n],七；七个,There are seven days in a week.,一周有七天。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
eight,KV000032,eight,[eɪt],[eɪt],八；八个,My first class is at eight.,我的第一节课八点开始。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
nine,KV000033,nine,[naɪn],[naɪn],九；九个,I go to bed before nine.,我九点前上床睡觉。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
ten,KV000034,ten,[ten],[ten],十；十个,Ten students joined the school club.,十名学生参加了学校社团。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
how,KV000035,how,[haʊ],[haʊ],怎样；多少,How many books?,有多少本书？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
many,KV000036,many,[ˈmeni],[ˈmeni],许多；多少（how many）,How many apples?,有多少个苹果？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
are,KV000037,are,[ɑ:(r)],[ər; ɑːr; er],是,There are two books.,有两本书。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
there,KV000038,there,[ðeə(r)],[ðer],那里；有（there be）,There are three cats.,有三只猫。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
black,KV000039,black,[blæk],[blæk],黑色；黑色的,My black schoolbag is under the desk.,我的黑色书包在课桌下面。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
yellow,KV000040,yellow,[ˈjeləʊ],[ˈjeloʊ],黄色；黄色的,The yellow ruler is next to my pencil.,黄色尺子在我的铅笔旁边。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
blue,KV000041,blue,[bluː],[bluː],蓝色；蓝色的,I put the blue book in my schoolbag.,我把蓝色的书放进书包里。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
red,KV000042,red,[red],[red],红色；红色的,The red apple is on my desk.,红苹果在我的课桌上。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
green,KV000043,green,[ɡriːn],[ɡriːn],绿色；绿色的,My green pencil is in the box.,我的绿色铅笔在盒子里。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
colour,KV000044,colour,[ˈkʌlə(r)],[ˈkʌlər],颜色,What colour is it?,它是什么颜色？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
apple,KV000045,apple,[ˈæp(ə)l],[ˈæpl],苹果,I usually eat an apple after lunch.,我通常午饭后吃一个苹果。,4,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
pear,KV000046,pear,[peə(r)],[per],梨,Dad bought some pears at the market.,爸爸在市场买了一些梨。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
banana,KV000047,banana,[bəˈnɑːnə],[bəˈnænə],香蕉,I put a banana in my lunch box.,我在午餐盒里放了一根香蕉。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
orange,KV000048,orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],橙子；橙色,We shared an orange after PE class.,体育课后我们分吃了一个橙子。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
do,KV000049,do,[duː; də; du; dəʊ],[duː; də; du; doʊ],助动词（用于疑问句）,Do you like apples?,你喜欢苹果吗？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
you,KV000050,you,[ju],[juː; jə],你；你们,Do you like cats?,你喜欢猫吗？,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
like,KV000051,like,[laɪk],[laɪk],喜欢,I like reading books on rainy days.,我喜欢在下雨天读书。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
yes,KV000052,yes,[jes],[jes],是的；对,Yes I do.,是的，我喜欢。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
no,KV000053,no,[nəʊ],[noʊ],不；不是,No I don't.,不，我不喜欢。,4,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::lower-grade-backfill
chair,KV000054,chair,[tʃeə(r)],[tʃer],椅子,My schoolbag is under the chair.,我的书包在椅子下面。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::lower-grade-backfill
desk,KV000055,desk,[desk],[desk],课桌；书桌,I put my books on the desk after class.,下课后我把书放在课桌上。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::lower-grade-backfill
blackboard,KV000056,blackboard,[ˈblækbɔːd],[ˈblækbɔːrd],黑板,There are some English words on the blackboard.,黑板上有一些英文单词。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::lower-grade-backfill
on,KV000057,on,[ɒn],[ɑːn],在……上面,My English book is on the desk.,我的英语书在课桌上。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
under,KV000058,under,[ˈʌndə(r)],[ˈʌndər],在……下面,The cat is sleeping under the chair.,猫正在椅子下面睡觉。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
in,KV000059,in,[ɪn],[ɪn],在……里面,There are three pencils in the box.,盒子里有三支铅笔。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
where,KV000060,where,[weə(r)],[wer],哪里,Where is the book I put on the desk?,我放在课桌上的那本书在哪里？,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
the,KV000061,the,[ðə],[ðə; ði; ðiː],这；那（定冠词）,The teacher is reading a book to us.,老师正在给我们读一本书。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
light,KV000062,light,[laɪt],[laɪt],灯,Please turn off the light before you leave.,离开前请关灯。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::lower-grade-backfill
bed,KV000063,bed,[bed],[bed],床,I read a book on my bed after school.,放学后我在床上读书。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::lower-grade-backfill
door,KV000064,door,[dɔː(r)],[dɔːr],门,Please close the door before class.,上课前请把门关上。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::lower-grade-backfill
box,KV000065,box,[bɒks],[bɑːks],盒子；箱子,I keep my pencils in this box.,我把铅笔放在这个盒子里。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::lower-grade-backfill
near,KV000066,near,[nɪə(r)],[nɪr],在……附近,There is a small park near my school.,我的学校附近有一个小公园。,4,rj_start1,rj_start1::1年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-review
behind,KV000067,behind,[bɪˈhaɪnd],[bɪˈhaɪnd],在……后面,The cat is hiding behind the door.,猫正躲在门后面。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
plane,KV000068,plane,[pleɪn],[pleɪn],飞机,We went to Beijing by plane last summer.,去年夏天我们坐飞机去了北京。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
ball,KV000069,ball,[bɔːl],[bɔːl],球,The children are playing with a ball outside.,孩子们正在外面玩球。,4,rj_start1,rj_start1::1年级下|rj_start1::4年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::4 source::rj_start1::grade::4::下 stage::grade4-review
doll,KV000070,doll,[dɒl],[dɑːl],玩具娃娃,My little sister keeps her doll on the bed.,我的妹妹把她的玩偶放在床上。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
train,KV000071,train,[treɪn],[treɪn],火车,We took a train to visit my grandparents.,我们坐火车去看望祖父母。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
car,KV000072,car,[kɑː(r)],[kɑːr],小汽车；汽车,Dad drives us to the park by car.,爸爸开车带我们去公园。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
bear,KV000073,bear,[beə(r)],[ber],熊,We saw a brown bear in the picture book.,我们在图画书里看到一只棕熊。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
can,KV000074,can,[kən; kæn],[kən; kæn],能；会；可以,I can finish my homework by myself.,我能自己完成作业。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
sure,KV000075,sure,[ʃʊə(r)],[ʃʊr],当然；可以,Are you sure this is your book?,你确定这是你的书吗？,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
sorry,KV000076,sorry,[ˈsɒri],[ˈsɑːri],对不起；抱歉,I'm sorry I'm late for class.,对不起，我上课迟到了。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
rice,KV000077,rice,[raɪs],[raɪs],米饭,We usually eat rice with vegetables.,我们通常把米饭和蔬菜一起吃。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
noodles,KV000078,noodles,[ˈnuːd(ə)lz],[ˈnuːd(ə)lz],面条,I had noodles for dinner yesterday.,我昨天晚饭吃了面条。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
vegetable,KV000079,vegetable,[ˈvedʒtəb(ə)l],[ˈvedʒtəbl],蔬菜,Eating more vegetables is good for us.,多吃蔬菜对我们有好处。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
fish,KV000080,fish,[fɪʃ],[fɪʃ],鱼；鱼肉,We had fish and rice for lunch.,我们午饭吃了鱼和米饭。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::6年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 source::rj_start1::grade::6 source::rj_start1::grade::6::上 stage::lower-grade-backfill
chicken,KV000081,chicken,[ˈtʃɪkɪn],[ˈtʃɪkɪn],鸡肉,My mother cooked chicken for dinner.,妈妈晚饭做了鸡肉。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
egg,KV000082,egg,[eɡ],[eɡ],鸡蛋；蛋,I had an egg and some milk for breakfast.,我早饭吃了一个鸡蛋，还喝了些牛奶。,4,rj_start1,rj_start1::1年级下|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::lower-grade-backfill
hungry,KV000083,hungry,[ˈhʌŋɡri],[ˈhʌŋɡri],饿的；饥饿的,I am hungry after school.,放学后我饿了。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
want,KV000084,want,[wɒnt],[wɑːnt],想要,I want to read this book after dinner.,晚饭后我想读这本书。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
and,KV000085,and,[ənd],[ənd; ən; n; ænd],和；并且,I packed a book and a pencil in my bag.,我把一本书和一支铅笔装进包里。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
juice,KV000086,juice,[dʒuːs],[dʒuːs],果汁,I usually have orange juice at breakfast.,我早餐通常喝橙汁。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
tea,KV000087,tea,[tiː],[tiː],茶,My grandfather has tea after lunch.,我爷爷午饭后喝茶。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
milk,KV000088,milk,[mɪlk],[mɪlk],牛奶,I have milk for breakfast every morning.,我每天早饭都喝牛奶。,4,rj_start1,rj_start1::1年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 stage::lower-grade-backfill
