ExpressionID,FunctionLabel,Prompt,PromptHint,Target,Pattern,MeaningUsage,Examples,LearnerLevel,LearningOrder,Sources,SourceBooks
KE000013,介绍他人姓名,告诉别人你的朋友叫什么,person: he; name: Zhang Peng,His name is Zhang Peng.,His/Her name is [name].,告诉别人另一个人的姓名。,Her name is Amy. | His name is Mike.,4,000013,rj_start1,rj_start1::grade4-upper
KE000014,介绍某处有多个事物,介绍一个地方有很多人,things: many people,There are many people.,There are [plural noun].,表示某处有多个或一些人、事物。,There are two cats. | There are many books.,4,000014,renjiao_start3|rj_start1,renjiao_start3::grade5-upper|rj_start1::grade4-upper
KE000015,表达最喜欢的事物,告诉别人你最喜欢的地方,category: place; item: the museum,My favourite place is the museum.,My favourite [category] is [item].,表达自己在某一类别中最喜欢的事物。,My favourite sport is football. | My favourite food is noodles.,4,000015,rj_start1,rj_start1::grade4-upper
KE000016,描述正在做的动作,看到陈杰正在铺床，描述她在做什么,person: Chen Jie; action: make the bed,Chen Jie is making the bed.,[Person] is [verb-ing].,描述某人正在进行的动作。,Mike is reading. | Amy is singing.,4,000016,renjiao_start3|rj_start1,renjiao_start3::grade5-lower|rj_start1::grade4-upper
KE000017,描述天气,告诉朋友今天是晴天,weather: sunny; time: today,It's sunny today.,It's [weather description] [time/place].,描述某个时间或地点的天气状态。,It's cold and windy outside. | It's hot and sunny here.,4,000017,rj_start1,rj_start1::grade4-upper
KE000018,回答物品是谁的,别人问这件毛衣是谁的，你说是爸爸的,owner: your dad,It's your dad's.,It's [person]'s.,说明某件物品属于谁。,It's Amy's. | It's my brother's.,4,000018,renjiao_start3|rj_start1,renjiao_start3::grade5-lower|rj_start1::grade4-upper
KE000019,说明整点时间,看钟后告诉别人现在五点,time: 5,It's 5 o'clock.,It's [time] o'clock.,说明现在是某个整点。,It's seven o'clock. | It's nine o'clock.,4,000019,rj_start1,rj_start1::grade3-upper|rj_start1::grade4-lower
KE000020,提醒该进行某项活动,到晚饭时间了，提醒大家,activity: dinner,It's time for dinner.,It's time for [noun].,表示到了进行某项活动的时间。,It's time for class. | It's time for bed.,4,000020,rj_start1,rj_start1::grade4-lower
KE000021,提醒该做某事,早上到起床时间了，提醒对方,action: get up,It's time to get up.,It's time to [verb].,表示到了做某个动作的时间。,It's time to go home. | It's time to study.,4,000021,rj_start1,rj_start1::grade4-lower
KE000022,礼貌提醒不要做某事,吃饭时提醒别人不要浪费食物,action: waste food,"Don't waste food, please.","Don't [verb phrase], please.",礼貌地提醒或要求对方不要做某事。,"Don't run, please. | Don't touch it, please.",4,000022,rj_start1,rj_start1::grade4-lower
KE000023,主动提供帮助,看到别人可能需要帮助，主动询问,,Can I help you?,Can I help you?,主动询问自己是否可以提供帮助。,Can I help you? | Can I help you with that?,4,000023,rj_start1,rj_start1::grade4-lower
KE000024,表达喜好,告诉别人你喜欢这件粉色连衣裙,thing: this pink dress,I like this pink dress.,I like [thing].,表达自己喜欢某个事物。,I like winter. | I like the fresh air.,4,000024,rj_start1,rj_start1::grade3-upper|rj_start1::grade4-lower|rj_start1::grade4-upper
KE000025,说明这些是什么,告诉别人这些是西红柿,things: tomatoes,They're tomatoes.,They're [plural noun].,说明多个东西是什么。,They're grapes. | They're apples.,4,000025,rj_start1,rj_start1::grade3-lower|rj_start1::grade4-lower
KE000026,询问某种关系中的人物,想知道对方最好的朋友是谁,relationship: best friend,Who's your best friend?,Who's your [relationship]?,询问某种关系中的人是谁。,Who's your teacher? | Who's your neighbour?,4,000026,rj_start1,rj_start1::grade4-upper
KE000027,描述人物特征,描述朋友又高又壮,"person: he; traits: tall, strong",He's tall and strong.,[Person] is [adjective] and [adjective].,用两个特征描述一个人。,She's kind and funny. | He's quiet and friendly.,4,000027,renjiao_start3|rj_start1,renjiao_start3::grade5-upper|rj_start1::grade4-upper
KE000028,询问能为别人做什么,爸爸妈妈很累，想知道能为他们做什么,person: them,What can we do for them?,What can we do for [person]?,询问可以为某人做些什么。,What can I do for you? | What can we do for Grandma?,4,000028,rj_start1,rj_start1::grade4-upper
KE000029,表达可以做的事,想告诉别人可以做一些家务,action: do some chores,We can do some chores.,We can [verb phrase].,表达我们可以采取某个行动。,We can go to the library. | We can plant new trees.,4,000029,renjiao_start3|rj_start1,renjiao_start3::grade6-upper|rj_start1::grade3-upper|rj_start1::grade4-upper
KE000030,电话中自报姓名,接电话时告诉对方你是 Mark,name: Mark,Mark speaking.,[Name] speaking.,电话中接听时用姓名加 speaking 表示“我是……”。,Amy speaking. | John speaking.,4,000030,rj_start1,rj_start1::grade4-upper
KE000031,电话中自报身份,打电话时告诉对方你是 John,name: John,This is John.,This is [name].,电话中用 This is [name]. 表示“我是……”。,This is Amy. | This is Mike.,4,000031,rj_start1,rj_start1::grade4-upper
KE000032,询问类别中的偏好,想知道对方喜欢哪个季节,category: season,Which season do you like?,Which [category] do you like?,询问对方在某一类别中喜欢哪一个。,Which colour do you like? | Which sport do you like?,4,000032,rj_start1,rj_start1::grade4-upper
KE000033,表达必须先做某事,想看电视，但妈妈提醒你先做作业,action: do your homework,You have to do your homework first.,You have to [verb phrase] first.,表示必须先完成某件事。,You have to wash your hands first. | You have to finish your work first.,4,000033,rj_start1,rj_start1::grade4-lower
KE000034,祝愿一天愉快,和别人分别时祝他今天过得愉快,,Have a nice day!,Have a nice day!,分别时祝对方一天愉快。,Have a nice day! | Have a good day!,4,000034,rj_start1,rj_start1::grade4-lower
KE000035,请对方再说一遍,没听清对方的话，想请他再说一次,,Excuse me?,Excuse me?,没听清时用升调礼貌地请对方再说一遍。,Excuse me? | Sorry?,4,000035,rj_start1,rj_start1::grade4-lower
KE000036,提醒小心,看到朋友要碰烫的东西，提醒他小心,,Be careful!,Be careful!,提醒对方注意安全、小心一些。,Be careful! It's hot. | Be careful on the stairs.,4,000036,rj_start1,rj_start1::grade3-upper|rj_start1::grade4-lower
KE000037,催促快一点,快迟到了，催朋友快一点,,Hurry up!,Hurry up!,催促对方动作快一点。,"Hurry up! We're late. | Hurry up, please.",4,000037,rj_start1,rj_start1::grade4-lower
KE000038,询问姓名,刚认识一个新同学，想知道他叫什么名字,,What's your name?,What's your name?,询问对方的姓名。,"Hi! What's your name? | Excuse me, what's your name?",4,000038,rj_start1,rj_start1::grade3-lower
KE000039,介绍自己的姓名,向新同学介绍自己的名字,name: Amy Green,My name's Amy Green.,My name is [name].,告诉别人自己的姓名；口语中常用 My name's…。,My name is Mike. | My name's Sarah.,4,000039,rj_start1,rj_start1::grade3-lower|rj_start1::grade3-upper
KE000040,询问来自哪里,刚认识新朋友，想知道他来自哪里,,Where are you from?,Where are you from?,询问对方来自哪个国家、城市或地方。,Where are you from? | Where's your family from?,4,000040,rj_start1,rj_start1::grade3-lower
KE000041,说明来自哪里,告诉别人自己来自英国,place: the UK,I'm from the UK.,I'm from [place].,说明自己来自哪个国家、城市或地方。,I'm from China. | I'm from Beijing.,4,000041,rj_start1,rj_start1::grade3-lower
KE000042,初次见面问候,第一次见面，礼貌地打招呼,,Nice to meet you.,Nice to meet you.,第一次见面时表达“很高兴认识你”。,Nice to meet you too. | It's nice to meet you.,4,000042,rj_start1,rj_start1::grade3-upper
KE000043,介绍家人或朋友,向朋友介绍自己的奶奶,person: grandma,This is my grandma.,This is my [person].,向别人介绍自己的家人、朋友等。,This is my brother. | This is my friend.,4,000043,rj_start1,rj_start1::grade3-upper
KE000044,询问是否有某物,想知道朋友有没有宠物,thing: a pet,Do you have a pet?,Do you have [thing]?,询问对方是否拥有某个东西。,Do you have a bike? | Do you have any old books?,4,000044,rj_start1,rj_start1::grade3-lower|rj_start1::grade3-upper
KE000045,询问这或那是什么,看到手边一个不认识的东西，想知道是什么,demonstrative: this,What's this?,What's [demonstrative]?,询问近处或远处的一个东西是什么；可替换 this / that。,What's that? | What's this?,4,000045,rj_start1,rj_start1::grade3-upper
KE000046,询问喜好,想知道朋友喜不喜欢苹果,thing: apples,Do you like apples?,Do you like [thing]?,询问对方是否喜欢某个事物。,Do you like football? | Do you like the farm?,4,000046,rj_start1,rj_start1::grade3-upper
KE000047,询问颜色,想知道这个东西是什么颜色,thing: it,What colour is it?,What colour is [thing]?,询问某个东西是什么颜色。,What colour is your bag? | What colour is the car?,4,000047,rj_start1,rj_start1::grade3-upper
KE000048,询问年龄,刚认识小朋友，想知道他几岁,,How old are you?,How old are you?,询问对方的年龄。,How old are you? | How old is your brother?,4,000048,rj_start1,rj_start1::grade3-upper
KE000049,递给对方某物,把橡皮递给同学时说,,Here you are.,Here you are.,把东西递给别人时说“给你”。,Here you are. | Here you go.,4,000049,rj_start1,rj_start1::grade3-lower|rj_start1::grade3-upper
KE000050,礼貌表达想要,点餐时想要一些面包和鸡蛋,thing: some bread and eggs,"I'd like some bread and eggs, please.","I'd like [thing], please.",礼貌地表达自己想要某个东西。,"I'd like some milk, please. | I'd like a sandwich, please.",4,000050,renjiao_start3|rj_start1,renjiao_start3::grade5-upper|rj_start1::grade3-lower
KE000051,询问物品位置,找不到动物书，想问它在哪里,thing: my animal book,Where is my animal book?,Where is [thing]?,询问某个东西在哪里。,Where is my pencil? | Where is your bag?,4,000051,rj_start1,rj_start1::grade3-lower
KE000052,询问数量,想知道我们有多少本书,noun: books; subject/action: we have,How many books do we have?,How many [plural noun] do [subject] [verb]?,询问某类事物的数量。,How many boxes do we need? | How many apples do you have?,4,000052,rj_start1,rj_start1::grade3-lower
KE000053,询问价格,在商店想知道这个包多少钱,thing: this bag,How much is this bag?,How much is [thing]?,询问一个东西的价格。,How much is this book? | How much is the T-shirt?,4,000053,rj_start1,rj_start1::grade3-lower
KE000054,确认人物身份,看到远处一个男孩，想确认是不是对方的弟弟,person: brother,Is that your brother?,Is that your [person]?,确认远处某个人是不是对方认识的人。,Is that your teacher? | Is that your friend?,4,000054,rj_start1,rj_start1::grade3-upper
KE000055,说明单个事物是什么,别人问这是什么，你回答是一只狐狸,thing: a fox,It's a fox.,It's a/an [noun].,说明一个东西或动物是什么。,It's a red panda. | It's an apple.,4,000055,rj_start1,rj_start1::grade3-upper
KE000056,回答年龄,别人问你几岁，你回答五岁,age: five,I'm five years old.,I'm [number] years old.,说明自己的年龄。,I'm nine years old. | I'm ten years old.,4,000056,rj_start1,rj_start1::grade3-upper
KE000057,说明物品位置,告诉妈妈动物书在盒子里,place: in the box,It's in the box.,It's [preposition phrase].,说明某个东西所在的位置。,It's on the shelf. | It's under the desk.,4,000057,rj_start1,rj_start1::grade3-lower
KE000058,回答数量,告诉别人我们有十五本书,subject/action: we have; quantity: fifteen books,We have fifteen books.,[Subject] [verb] [number] [plural noun].,用完整句说明某类事物的数量。,We need three boxes. | I have two pencils.,4,000058,rj_start1,rj_start1::grade3-lower
KE000059,说明价格,告诉顾客这个包二十元,price: twenty yuan,It's twenty yuan.,It's [price].,说明一个东西的价格。,It's ten yuan. | It's fifty yuan.,4,000059,rj_start1,rj_start1::grade3-lower
KE000060,补充询问另一个对象,已经看过一个东西，还想问这个怎么样,thing: this,What about this?,What about [thing]?,在已有话题上继续询问另一个对象或选择。,What about that one? | What about the blue one?,4,000060,rj_start1,rj_start1::grade3-lower
KE000061,提出替代方案或还价,对方说十七元三个，你提出十六元三个,proposal: three for sixteen yuan,How about three for sixteen yuan?,How about [proposal]?,提出一个替代建议，也可以用于简单还价。,How about ten yuan? | How about this one?,4,000061,rj_start1,rj_start1::grade3-lower
KE000062,礼貌引起注意,想礼貌地叫住别人再开口,,Excuse me.,Excuse me.,在提问或请求前礼貌地引起对方注意。,"Excuse me, can you help me? | Excuse me, where is the library?",4,000062,rj_start1,rj_start1::grade3-lower
KE000063,回应感谢,别人说谢谢，你礼貌回应,,You're welcome.,You're welcome.,对别人说 Thank you 后作礼貌回应。,You're welcome. | You're very welcome.,4,000063,rj_start1,rj_start1::grade3-lower
KE000064,表示没问题,别人提出请求，你表示没问题,,No problem.,No problem.,表示“没问题”“可以”或对感谢作轻松回应。,"No problem. | Sure, no problem.",4,000064,rj_start1,rj_start1::grade3-lower
KE000065,礼让对方先行,进门时想礼让别人先走,,After you!,After you!,礼貌地让对方先走、先做。,"After you! | Please, after you.",4,000065,rj_start1,rj_start1::grade3-lower
KE000066,表达我也是,朋友说自己喜欢某样东西，你也一样,,Me too.,Me too.,表示自己和对方的情况、感受或喜好相同。,“I like winter.” — “Me too.” | “I'm tired.” — “Me too.”,4,000066,rj_start1,rj_start1::grade3-upper
KE000067,提问,想询问人物整体特征的高迁移表达,slots: person,What's [person] like?,What's [person] like?,询问人物整体特征的高迁移表达；不同于询问物体是什么,What's he like?,4,000067,renjiao_start3,renjiao_start3::grade5-upper
KE000068,提问,想询问某人是否擅长某活动的可迁移句型,slots: person · activity,Is [person] good at [activity]?,Is [person] good at [activity]?,询问某人是否擅长某活动的可迁移句型,Is he good at football?,4,000068,renjiao_start3,renjiao_start3::grade5-upper
KE000069,提问,想询问某人能为活动或对象做什么,slots: person · target,What can [person] do for [target]?,What can [person] do for [target]?,询问某人能为活动或对象做什么；现有 KE000028 固定为 we+person 帮助语境,What can you do for the festival?,4,000069,renjiao_start3,renjiao_start3::grade5-upper
KE000070,陈述,想表达自己能做什么的基础主动产出句型,slots: verb_phrase,I can [verb phrase].,I can [verb phrase].,表达自己能做什么的基础主动产出句型,I can make a robot.,4,000070,renjiao_start3,renjiao_start3::grade5-upper
KE000071,提问,想询问能力而非请求许可或礼貌请求,slots: verb_phrase,Can you [verb phrase]?,Can you [verb phrase]?,本句询问能力而非请求许可或礼貌请求,"Can you make robots, Sarah?",4,000071,renjiao_start3,renjiao_start3::grade5-upper
KE000072,回应,想询问的高频否定回应,,"No, I can't.","No, I can't.",对能力询问的高频否定回应,"No, I can't.",4,000072,renjiao_start3,renjiao_start3::grade5-upper
KE000073,提问,想询问对方出了什么情况的高频固定表达,,What's the matter?,What's the matter?,询问对方出了什么情况的高频固定表达,"Hi, Mike. You look sad. What's the matter?",4,000073,renjiao_start3,renjiao_start3::grade5-upper
KE000074,描述,想描述的高迁移表达,slots: adjective,You look [adjective].,You look [adjective].,根据对方外观或状态作观察描述的高迁移表达,"Hi, Mike. You look sad. What's the matter?",4,000074,renjiao_start3,renjiao_start3::grade5-upper
KE000075,陈述,想说明事情主题或内容的可迁移表达,slots: topic,It's about [topic].,It's about [topic].,说明事情主题或内容的可迁移表达,It's about our school project.,4,000075,renjiao_start3,renjiao_start3::grade5-upper
KE000076,陈述,想表达必须在截止时间前完成某事,slots: verb_phrase · time,We have to [verb phrase] by [time].,We have to [verb phrase] by [time].,表达必须在截止时间前完成某事,And we have to finish our project by Monday.,4,000076,renjiao_start3,renjiao_start3::grade5-upper
KE000077,建议,想提出建议的高频简洁构式,slots: verb_phrase,Why not [verb phrase]?,Why not [verb phrase]?,提出建议的高频简洁构式,Why not do both?,4,000077,renjiao_start3,renjiao_start3::grade5-upper
KE000078,陈述,想说明某行动重要性的高迁移句型,slots: verb_phrase,It's important to [verb phrase].,It's important to [verb phrase].,说明某行动重要性的高迁移句型,It's important to listen to each other.,4,000078,renjiao_start3,renjiao_start3::grade5-upper
KE000079,陈述,想表达自己需要做某事的基础句型,slots: verb_phrase,I need to [verb phrase].,I need to [verb phrase].,表达自己需要做某事的基础句型,"Yes, Miss White. I need to talk to Mike.",4,000079,renjiao_start3,renjiao_start3::grade5-upper
KE000080,提问,想询问某类别中最喜欢的对象,slots: category,What's your favourite [category]?,What's your favourite [category]?,直接询问某类别中最喜欢的对象；与 Which ... do you like 实现不同,"What’s your favourite day at school, John?",4,000080,renjiao_start3,renjiao_start3::grade5-upper
KE000081,提问,想询问某天课程安排的教材核心表达,slots: day,What do you have on [day]?,What do you have on [day]?,询问某天课程安排的教材核心表达,What do you have on Wednesdays?,4,000081,renjiao_start3,renjiao_start3::grade5-upper
KE000082,提问,想询问某时段通常做什么的高迁移日常表达,slots: time_phrase,What do you usually do [time phrase]?,What do you usually do [time phrase]?,询问某时段通常做什么的高迁移日常表达,"What do you usually do at the weekend, children? | What do you do on the weekend?",4,000082,renjiao_start3,renjiao_start3::grade5-lower|renjiao_start3::grade5-upper
KE000083,陈述,想表达经常性活动并训练频率副词位置,slots: verb_phrase,I often [verb phrase].,I often [verb phrase].,表达经常性活动并训练频率副词位置,I often play football. Sometimes I play Chinese chess with my father. | I often watch TV and play ping-pong with my father.,4,000083,renjiao_start3,renjiao_start3::grade5-lower|renjiao_start3::grade5-upper
KE000084,陈述,想表达偶尔性活动的高迁移句型,slots: verb_phrase,Sometimes I [verb phrase].,Sometimes I [verb phrase].,表达偶尔性活动的高迁移句型,I often play football. Sometimes I play Chinese chess with my father.,4,000084,renjiao_start3,renjiao_start3::grade5-upper
KE000085,提问,想询问某活动是否在两个时间都发生并承载 both...and 结构,slots: person · verb_phrase · time1 · time2,Does [person] [verb phrase] on both [time 1] and [time 2]?,Does [person] [verb phrase] on both [time 1] and [time 2]?,询问某活动是否在两个时间都发生并承载 both...and 结构,Does your mother work on both Saturdays and Sundays?,4,000085,renjiao_start3,renjiao_start3::grade5-upper
KE000086,确认,想表达这个意思：一般现在时 Does 问句的高频肯定短答,slots: subject_pronoun,"Yes, [subject pronoun] does.","Yes, [subject pronoun] does.",一般现在时 Does 问句的高频肯定短答,"Yes, she does.",4,000086,renjiao_start3,renjiao_start3::grade5-upper
KE000087,提问,想询问如何实现目标或采取行动的高迁移表达,slots: verb_phrase,How can we [verb phrase]?,How can we [verb phrase]?,询问如何实现目标或采取行动的高迁移表达,How can we all stay healthy? | How can we live a healthy life?,4,000087,renjiao_start3,renjiao_start3::grade5-upper|renjiao_start3::grade6-upper
KE000088,表达,想提出正向建议的基础句型,slots: verb_phrase,We should [verb phrase].,We should [verb phrase].,提出正向建议的基础句型,We should eat healthy food. | We need to eat healthy food. We should exercise too.,4,000088,renjiao_start3,renjiao_start3::grade5-upper|renjiao_start3::grade6-upper
KE000089,表达,想提出不应做某事的基础负向建议句型,slots: verb_phrase,You shouldn't [verb phrase].,You shouldn't [verb phrase].,提出不应做某事的基础负向建议句型,No. You shouldn't play on a phone so often.,4,000089,renjiao_start3,renjiao_start3::grade5-upper
KE000090,提问,想询问对方想做什么,slots: verb,What would you like to [verb]?,What would you like to [verb]?,询问对方想做什么；不同于 Would you like [thing] 的是非式询问,What would you like to eat?,4,000090,renjiao_start3,renjiao_start3::grade5-upper
KE000091,接受,想接受提议或提供的高频固定回应,,"Yes, please.","Yes, please.",礼貌接受提议或提供的高频固定回应,"Yes, please.",4,000091,renjiao_start3,renjiao_start3::grade5-upper
KE000092,提问,想询问物品或事物来源,slots: thing,Where does [thing] come from?,Where does [thing] come from?,询问物品或事物来源；不同于 Where are you from 的人物来源,Where does your coconut come from? | Where does water come from?,4,000092,renjiao_start3,renjiao_start3::grade5-upper|renjiao_start3::grade6-upper
KE000093,提问,想询问某处是否存在单数事物,slots: singular_noun · place_phrase,Is there a/an [singular noun] [place phrase]?,Is there a/an [singular noun] [place phrase]?,询问某处是否存在单数事物,Is there a waterfall in the forest?,4,000093,renjiao_start3,renjiao_start3::grade5-upper
KE000094,确认,想询问的高频肯定短答,,"Yes, there is.","Yes, there is.",对单数存在询问的高频肯定短答,"Yes, there is. | Yes, there is. There is soil too.",4,000094,renjiao_start3,renjiao_start3::grade5-upper|renjiao_start3::grade6-upper
KE000095,提问,想询问某处是否存在复数事物,slots: plural_noun · place_phrase,Are there any [plural noun] [place phrase]?,Are there any [plural noun] [place phrase]?,询问某处是否存在复数事物,Are there any famous mountains in the nature park? | Are there any aliens?,4,000095,renjiao_start3,renjiao_start3::grade5-upper|renjiao_start3::grade6-upper
KE000096,确认,想询问的高频肯定短答,,"Yes, there are.","Yes, there are.",对复数存在询问的高频肯定短答,"Yes, there are.",4,000096,renjiao_start3,renjiao_start3::grade5-upper
KE000097,陈述,想表达未来某时或某地将出现某事物,slots: noun_phrase · time_place,There will be [noun phrase] [time/place].,There will be [noun phrase] [time/place].,表达未来某时或某地将出现某事物,There will be heavy rain in the afternoon too.,4,000097,renjiao_start3,renjiao_start3::grade5-upper
KE000098,提问,想询问日常活动发生时间的高迁移句型,slots: verb_phrase,When do you [verb phrase]?,When do you [verb phrase]?,询问日常活动发生时间的高迁移句型,When do you finish class in the morning?,4,000098,renjiao_start3,renjiao_start3::grade5-lower
KE000099,陈述,想说明日常活动具体发生时间的通用句型,slots: subject · verb_phrase · time,[Subject] [verb phrase] at [time].,[Subject] [verb phrase] at [time].,说明日常活动具体发生时间的通用句型,We finish class at 1 o'clock.,4,000099,renjiao_start3,renjiao_start3::grade5-lower
KE000100,提问,想询问某类别中最喜欢哪个对象,slots: category,Which [category] do you like best?,Which [category] do you like best?,询问某类别中最喜欢哪个对象；best 使其区别于一般 like 询问,"Which season do you like best, Miss White?",4,000100,renjiao_start3,renjiao_start3::grade5-lower
KE000101,提问,想追问原因的固定表达,,Why?,Why?,高频独立追问原因的固定表达,Why?,4,000101,renjiao_start3,renjiao_start3::grade5-lower
KE000102,表达,想表达这个意思：回答 Why 时给出原因的高迁移 discourse frame,slots: clause,Because [clause].,Because [clause].,回答 Why 时给出原因的高迁移 discourse frame,Because I like summer vacation!,4,000102,renjiao_start3,renjiao_start3::grade5-lower
KE000103,提问,想询问聚会行程展览生日等事件时间的通用句型,slots: event,When is [event]?,When is [event]?,询问聚会行程展览生日等事件时间的通用句型,When is the party? | When is the trip this year?,4,000103,renjiao_start3,renjiao_start3::grade5-lower
KE000104,陈述,想说明事件发生月份的常用回答框架,slots: month,It's in [month].,It's in [month].,说明事件发生月份的常用回答框架,It's in April. | It's in October. We'll go to the Great Wall.,4,000104,renjiao_start3,renjiao_start3::grade5-lower
KE000105,陈述,想表达共同未来计划的简洁高迁移句型,slots: verb_phrase,We'll [verb phrase].,We'll [verb phrase].,表达共同未来计划的简洁高迁移句型,It's in October. We'll go to the Great Wall.,4,000105,renjiao_start3,renjiao_start3::grade5-lower
KE000106,陈述,想说明事件具体日期的常用回答框架,slots: date,It's on [date].,It's on [date].,说明事件具体日期的常用回答框架,It's on May 1st.,4,000106,renjiao_start3,renjiao_start3::grade5-lower
KE000107,陈述,想说明自己生日日期的高频社交表达,slots: date,My birthday is on [date].,My birthday is on [date].,主动说明自己生日日期的高频社交表达,My birthday is on April 4th.,4,000107,renjiao_start3,renjiao_start3::grade5-lower
KE000108,陈述,想说明某物属于自己的可迁移表达,slots: thing,[Thing] is mine.,[Thing] is mine.,说明某物属于自己的可迁移表达,The yellow picture is mine.,4,000108,renjiao_start3,renjiao_start3::grade5-lower
KE000109,提问,想询问一组物品是否都属于某人的句型,slots: possessive_pronoun,Are these all [possessive pronoun]?,Are these all [possessive pronoun]?,询问一组物品是否都属于某人的句型,Are these all ours?,4,000109,renjiao_start3,renjiao_start3::grade5-lower
KE000110,提问,想询问所属的固定实现,,Whose is it?,Whose is it?,名词已知时询问所属的固定实现；区别于 Whose [noun] is this,Whose is it?,4,000110,renjiao_start3,renjiao_start3::grade5-lower
KE000111,提问,想询问某主体是否正在做某事,slots: subject · verb_ing,Is [subject] [verb-ing]?,Is [subject] [verb-ing]?,询问某主体是否正在做某事,Is he drinking water?,4,000111,renjiao_start3,renjiao_start3::grade5-lower
KE000112,表达,想表达这个意思：现在进行时是非问句的高频否定短答,slots: subject_pronoun,"No, [subject pronoun] isn't.","No, [subject pronoun] isn't.",现在进行时是非问句的高频否定短答,"No, he isn't. He's eating.",4,000112,renjiao_start3,renjiao_start3::grade5-lower
KE000113,提问,想询问多个主体正在做什么,slots: subjects,What are [subjects] doing?,What are [subjects] doing?,询问多个主体正在做什么,What are they doing?,4,000113,renjiao_start3,renjiao_start3::grade5-lower
KE000114,描述,想描述多个主体正在进行的动作,slots: subjects · verb_ing,[Subjects] are [verb-ing].,[Subjects] are [verb-ing].,描述多个主体正在进行的动作,They're eating lunch.,4,000114,renjiao_start3,renjiao_start3::grade5-lower
KE000115,提问,想询问单个主体正在做什么,slots: subject,What is [subject] doing?,What is [subject] doing?,询问单个主体正在做什么,What's the little monkey doing?,4,000115,renjiao_start3,renjiao_start3::grade5-lower
KE000116,请求,想要求小声说话的简洁指令,,Talk quietly.,Talk quietly.,课堂或公共场合要求小声说话的简洁指令,Shh. Talk quietly.,4,000116,renjiao_start3,renjiao_start3::grade5-lower
KE000117,表达,想要求把某物保持在某种状态的可迁移句型,slots: thing · adjective,Keep [thing] [adjective].,Keep [thing] [adjective].,要求把某物保持在某种状态的可迁移句型,Keep your desk clean.,4,000117,renjiao_start3,renjiao_start3::grade5-lower
